"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse"
14,0.1,3,100,0.5,1.04324592249539
91,0.01,4,500,0.5,1.04410107381549
17,0.04,4,100,0.5,1.04573127015672
291,0.01,4,500,0.3,1.04740899931894
406,0.01,2,100,0.1,1.04833137288303
24,0.1,5,100,0.5,1.05312009646062
331,0.01,2,200,0.2,1.05611454763702
412,0.04,3,100,0.1,1.05638564509092
46,0.01,5,200,0.5,1.05737238934615
171,0.01,5,400,0.4,1.05939914393549
7,0.04,2,100,0.5,1.05967944680237
122,0.04,5,100,0.4,1.06035875469138
67,0.04,4,400,0.5,1.06185909690061
2,0.04,1,100,0.5,1.06358102246956
121,0.01,5,100,0.4,1.06364424905435
361,0.01,3,400,0.2,1.06370900003615
118,0.06,4,100,0.4,1.0655623403531
421,0.01,5,100,0.1,1.0659524480064
317,0.04,4,100,0.2,1.06649626212718
131,0.01,2,200,0.4,1.06714961510195
217,0.04,4,100,0.3,1.07199853531036
316,0.01,4,100,0.2,1.07369218295663
457,0.04,2,400,0.1,1.07498303164942
43,0.06,4,200,0.5,1.07503267386608
214,0.1,3,100,0.3,1.07505142595624
207,0.04,2,100,0.3,1.07840891671236
106,0.01,2,100,0.4,1.08140460475898
108,0.06,2,100,0.4,1.08295595102234
371,0.01,5,400,0.2,1.08388207089992
418,0.06,4,100,0.1,1.08445469208337
486,0.01,3,500,0.1,1.08462304036635
243,0.06,4,200,0.3,1.08616807746609
3,0.06,1,100,0.5,1.08650809319763
391,0.01,4,500,0.2,1.08923278832789
18,0.06,4,100,0.5,1.08958033425316
127,0.04,1,200,0.4,1.09162789097786
411,0.01,3,100,0.1,1.09522274014238
156,0.01,2,400,0.4,1.09713664805494
352,0.04,1,400,0.2,1.10057151774974
322,0.04,5,100,0.2,1.10530207715096
307,0.04,2,100,0.2,1.10595356386561
381,0.01,2,500,0.2,1.10752266223445
41,0.01,4,200,0.5,1.12200115669206
81,0.01,2,500,0.5,1.13441856187483
456,0.01,2,400,0.1,1.13460427124322
148,0.06,5,200,0.4,1.13517676929541
413,0.06,3,100,0.1,1.13619553294141
351,0.01,1,400,0.2,1.13621963085136
56,0.01,2,400,0.5,1.13649314881939
42,0.04,4,200,0.5,1.13976092738859
471,0.01,5,400,0.1,1.14118527258134
366,0.01,4,400,0.2,1.14354489666697
466,0.01,4,400,0.1,1.15030671283121
251,0.01,1,400,0.3,1.15329545953597
497,0.04,5,500,0.1,1.15478956976411
241,0.01,4,200,0.3,1.1552404254981
212,0.04,3,100,0.3,1.1577026317048
444,0.1,4,200,0.1,1.16283153863617
32,0.04,2,200,0.5,1.17315785794369
338,0.06,3,200,0.2,1.17372903158871
362,0.04,3,400,0.2,1.17508363786508
271,0.01,5,400,0.3,1.17739664850249
186,0.01,3,500,0.4,1.17792309210404
19,0.1,4,100,0.5,1.19552711581284
341,0.01,4,200,0.2,1.19685618737088
86,0.01,3,500,0.5,1.19812107354135
408,0.06,2,100,0.1,1.2048217081394
261,0.01,3,400,0.3,1.21780449676184
23,0.06,5,100,0.5,1.22828173277408
47,0.04,5,200,0.5,1.23188560394569
266,0.01,4,400,0.3,1.24523088313393
213,0.06,3,100,0.3,1.24566854931278
419,0.1,4,100,0.1,1.24698843109079
12,0.04,3,100,0.5,1.24932639902354
324,0.1,5,100,0.2,1.27207714289924
386,0.01,3,500,0.2,1.27307030950773
117,0.04,4,100,0.4,1.27369800238644
203,0.06,1,100,0.3,1.27946647029838
51,0.01,1,400,0.5,1.29106842501706
196,0.01,5,500,0.4,1.29219844354418
37,0.04,3,200,0.5,1.29615547845161
407,0.04,2,100,0.1,1.29836855727802
232,0.04,2,200,0.3,1.29872892390269
13,0.06,3,100,0.5,1.29940492074798
28,0.06,1,200,0.5,1.30536997004616
447,0.04,5,200,0.1,1.36383552131741
191,0.01,4,500,0.4,1.36960143748864
347,0.04,5,200,0.2,1.38840917691529
247,0.04,5,200,0.3,1.39046952411882
410,0.14,2,100,0.1,1.39219213598501
432,0.04,2,200,0.1,1.43238283718857
224,0.1,5,100,0.3,1.46374273601051
112,0.04,3,100,0.4,1.48647783482611
417,0.04,4,100,0.1,1.49482901280012
38,0.06,3,200,0.5,1.5011232863988
237,0.04,3,200,0.3,1.50627560448965
325,0.14,5,100,0.2,1.51673716104057
313,0.06,3,100,0.2,1.51822454052213
48,0.06,5,200,0.5,1.53213973185049
222,0.04,5,100,0.3,1.53629248914144
25,0.14,5,100,0.5,1.5600893828193
142,0.04,4,200,0.4,1.56258492987974
415,0.14,3,100,0.1,1.56648177798027
443,0.06,4,200,0.1,1.59494580635837
52,0.04,1,400,0.5,1.63479835073641
138,0.06,3,200,0.4,1.6647334057782
