"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
24,0.1,5,100,0.5,0.61025641025641,0.718085106382979
141,0.01,4,200,0.55,0.61025641025641,0.601063829787234
343,0.06,4,200,0.65,0.61025641025641,0.707446808510638
437,0.04,3,200,0.7,0.61025641025641,0.712765957446808
508,0.06,2,100,0.75,0.61025641025641,0.638297872340426
774,0.1,5,400,0.85,0.61025641025641,0.707446808510638
890,0.14,3,500,0.9,0.61025641025641,0.707446808510638
59,0.1,2,400,0.5,0.605128205128205,0.627659574468085
72,0.04,5,400,0.5,0.605128205128205,0.707446808510638
95,0.14,4,500,0.5,0.605128205128205,0.707446808510638
167,0.04,4,400,0.55,0.605128205128205,0.579787234042553
250,0.14,5,200,0.6,0.605128205128205,0.696808510638298
604,0.1,1,100,0.8,0.605128205128205,0.590425531914894
244,0.1,4,200,0.6,0.6,0.702127659574468
363,0.06,3,400,0.65,0.6,0.617021276595745
676,0.01,1,500,0.8,0.6,0.712765957446808
12,0.04,3,100,0.5,0.594871794871795,0.606382978723404
319,0.1,4,100,0.65,0.594871794871795,0.707446808510638
374,0.1,5,400,0.65,0.594871794871795,0.521276595744681
598,0.06,5,500,0.75,0.594871794871795,0.707446808510638
620,0.14,4,100,0.8,0.594871794871795,0.579787234042553
703,0.06,1,100,0.85,0.594871794871795,0.707446808510638
704,0.1,1,100,0.85,0.594871794871795,0.707446808510638
709,0.1,2,100,0.85,0.594871794871795,0.718085106382979
717,0.04,4,100,0.85,0.594871794871795,0.707446808510638
724,0.1,5,100,0.85,0.594871794871795,0.702127659574468
883,0.06,2,500,0.9,0.594871794871795,0.702127659574468
941,0.01,4,200,0.95,0.594871794871795,0.702127659574468
47,0.04,5,200,0.5,0.58974358974359,0.670212765957447
168,0.06,4,400,0.55,0.58974358974359,0.585106382978723
229,0.1,1,200,0.6,0.58974358974359,0.707446808510638
375,0.14,5,400,0.65,0.58974358974359,0.712765957446808
415,0.14,3,100,0.7,0.58974358974359,0.707446808510638
538,0.06,3,200,0.75,0.58974358974359,0.712765957446808
670,0.14,4,400,0.8,0.58974358974359,0.595744680851064
778,0.06,1,500,0.85,0.58974358974359,0.670212765957447
899,0.1,5,500,0.9,0.58974358974359,0.601063829787234
17,0.04,4,100,0.5,0.584615384615385,0.691489361702128
193,0.06,4,500,0.55,0.584615384615385,0.702127659574468
226,0.01,1,200,0.6,0.584615384615385,0.686170212765957
265,0.14,3,400,0.6,0.584615384615385,0.696808510638298
337,0.04,3,200,0.65,0.584615384615385,0.702127659574468
400,0.14,5,500,0.65,0.584615384615385,0.702127659574468
432,0.04,2,200,0.7,0.584615384615385,0.579787234042553
466,0.01,4,400,0.7,0.584615384615385,0.707446808510638
593,0.06,4,500,0.75,0.584615384615385,0.585106382978723
654,0.1,1,400,0.8,0.584615384615385,0.702127659574468
767,0.04,4,400,0.85,0.584615384615385,0.680851063829787
26,0.01,1,200,0.5,0.579487179487179,0.638297872340426
117,0.04,4,100,0.55,0.579487179487179,0.5
242,0.04,4,200,0.6,0.579487179487179,0.712765957446808
259,0.1,2,400,0.6,0.579487179487179,0.537234042553192
305,0.14,1,100,0.65,0.579487179487179,0.723404255319149
315,0.14,3,100,0.65,0.579487179487179,0.51063829787234
344,0.1,4,200,0.65,0.579487179487179,0.659574468085106
380,0.14,1,500,0.65,0.579487179487179,0.707446808510638
628,0.06,1,200,0.8,0.579487179487179,0.51063829787234
631,0.01,2,200,0.8,0.579487179487179,0.372340425531915
635,0.14,2,200,0.8,0.579487179487179,0.707446808510638
663,0.06,3,400,0.8,0.579487179487179,0.707446808510638
682,0.04,2,500,0.8,0.579487179487179,0.457446808510638
707,0.04,2,100,0.85,0.579487179487179,0.686170212765957
933,0.06,2,200,0.95,0.579487179487179,0.50531914893617
996,0.01,5,500,0.95,0.579487179487179,0.473404255319149
998,0.06,5,500,0.95,0.579487179487179,0.473404255319149
1000,0.14,5,500,0.95,0.579487179487179,0.542553191489362
9,0.1,2,100,0.5,0.574358974358974,0.473404255319149
14,0.1,3,100,0.5,0.574358974358974,0.51063829787234
29,0.1,1,200,0.5,0.574358974358974,0.50531914893617
35,0.14,2,200,0.5,0.574358974358974,0.457446808510638
64,0.1,3,400,0.5,0.574358974358974,0.5
66,0.01,4,400,0.5,0.574358974358974,0.5
70,0.14,4,400,0.5,0.574358974358974,0.49468085106383
89,0.1,3,500,0.5,0.574358974358974,0.50531914893617
137,0.04,3,200,0.55,0.574358974358974,0.50531914893617
139,0.1,3,200,0.55,0.574358974358974,0.5
171,0.01,5,400,0.55,0.574358974358974,0.292553191489362
191,0.01,4,500,0.55,0.574358974358974,0.361702127659574
220,0.14,4,100,0.6,0.574358974358974,0.50531914893617
233,0.06,2,200,0.6,0.574358974358974,0.51063829787234
247,0.04,5,200,0.6,0.574358974358974,0.319148936170213
249,0.1,5,200,0.6,0.574358974358974,0.5
251,0.01,1,400,0.6,0.574358974358974,0.51063829787234
260,0.14,2,400,0.6,0.574358974358974,0.606382978723404
274,0.1,5,400,0.6,0.574358974358974,0.51063829787234
286,0.01,3,500,0.6,0.574358974358974,0.51063829787234
310,0.14,2,100,0.65,0.574358974358974,0.51063829787234
326,0.01,1,200,0.65,0.574358974358974,0.563829787234043
329,0.1,1,200,0.65,0.574358974358974,0.281914893617021
336,0.01,3,200,0.65,0.574358974358974,0.382978723404255
353,0.06,1,400,0.65,0.574358974358974,0.281914893617021
366,0.01,4,400,0.65,0.574358974358974,0.5
